Wsparcie: 1.20, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.21, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.22, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.23, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.24, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.25, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.26, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.27, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.28, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.29, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.30, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.31, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.32, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.33, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.34, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.35, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.36, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.37, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.38, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.39, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.40, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.41, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.42, Zwycięstwa Ukrainy: 0.00%, Zwycięstwa Rosji: 100.00%
Wsparcie: 1.43, Zwycięstwa Ukrainy: 0.04%, Zwycięstwa Rosji: 99.96%
Wsparcie: 1.44, Zwycięstwa Ukrainy: 0.20%, Zwycięstwa Rosji: 99.80%
Wsparcie: 1.45, Zwycięstwa Ukrainy: 0.29%, Zwycięstwa Rosji: 99.71%
Wsparcie: 1.46, Zwycięstwa Ukrainy: 0.47%, Zwycięstwa Rosji: 99.53%
Wsparcie: 1.47, Zwycięstwa Ukrainy: 0.95%, Zwycięstwa Rosji: 99.05%
Wsparcie: 1.48, Zwycięstwa Ukrainy: 1.43%, Zwycięstwa Rosji: 98.57%
Wsparcie: 1.49, Zwycięstwa Ukrainy: 1.84%, Zwycięstwa Rosji: 98.16%
Wsparcie: 1.50, Zwycięstwa Ukrainy: 2.39%, Zwycięstwa Rosji: 97.61%
Wsparcie: 1.51, Zwycięstwa Ukrainy: 3.10%, Zwycięstwa Rosji: 96.90%
Wsparcie: 1.52, Zwycięstwa Ukrainy: 3.71%, Zwycięstwa Rosji: 96.29%
Wsparcie: 1.53, Zwycięstwa Ukrainy: 4.81%, Zwycięstwa Rosji: 95.19%
Wsparcie: 1.54, Zwycięstwa Ukrainy: 5.67%, Zwycięstwa Rosji: 94.33%
Wsparcie: 1.55, Zwycięstwa Ukrainy: 7.03%, Zwycięstwa Rosji: 92.97%
Wsparcie: 1.56, Zwycięstwa Ukrainy: 8.17%, Zwycięstwa Rosji: 91.83%
Wsparcie: 1.57, Zwycięstwa Ukrainy: 8.98%, Zwycięstwa Rosji: 91.02%
Wsparcie: 1.58, Zwycięstwa Ukrainy: 9.99%, Zwycięstwa Rosji: 90.01%
Wsparcie: 1.59, Zwycięstwa Ukrainy: 11.60%, Zwycięstwa Rosji: 88.40%
Wsparcie: 1.60, Zwycięstwa Ukrainy: 12.88%, Zwycięstwa Rosji: 87.12%
Wsparcie: 1.61, Zwycięstwa Ukrainy: 13.81%, Zwycięstwa Rosji: 86.19%
Wsparcie: 1.62, Zwycięstwa Ukrainy: 15.30%, Zwycięstwa Rosji: 84.70%
Wsparcie: 1.63, Zwycięstwa Ukrainy: 15.94%, Zwycięstwa Rosji: 84.06%
Wsparcie: 1.64, Zwycięstwa Ukrainy: 17.35%, Zwycięstwa Rosji: 82.65%
Wsparcie: 1.65, Zwycięstwa Ukrainy: 18.45%, Zwycięstwa Rosji: 81.55%
